,question,answer
48,iya bener banget,aku harap sih bakal jadi musim dingin terus nantinya
49,aku harap sih bakal jadi musim dingin terus nantinya,"aku juga pengen kaya gitu, musim ujan terus hehehe"
50,"aku juga pengen kaya gitu, musim ujan terus hehehe","aku suka musim dingin sih, tapi kalo terlalu dingin juga gaenak"
51,"aku suka musim dingin sih, tapi kalo terlalu dingin juga gaenak","ya sama sih, aku lebih milih cuaca dingin daripada panas"
52,"ya sama sih, aku lebih milih cuaca dingin daripada panas",iyaa
53,gua berharap cuaca hari ini bagus,"benerr, gua harap sih ga bakal ujan"
54,"benerr, gua harap sih ga bakal ujan","kayaknya ga bakal ujan sih, lagi musim panas juga"
55,"kayaknya ga bakal ujan sih, lagi musim panas juga",rasanya aneh sih kalo tiba tiba ujan
56,rasanya aneh sih kalo tiba tiba ujan,bakal aneh sih lagi 32 derajat gini terus ujan
57,bakal aneh sih lagi 32 derajat gini terus ujan,ujan juga ga ngebantu jadi dingin sih
58,ujan juga ga ngebantu jadi dingin sih,benerr setujuu
59,benerr setujuu,gua sih berharap ujannya bakal bikin cuaca agak dinign
60,gua sih berharap ujannya bakal bikin cuaca agak dinign,"iya paham paham, tapi gua berharap musim dingin secepatnya"
61,"iya paham paham, tapi gua berharap musim dingin secepatnya","musim dingin enak sih, tapi kalo terlalu dingin ga enak juga"
62,"musim dingin enak sih, tapi kalo terlalu dingin ga enak juga",gua sih lebih suka musim dingin dibanding panas
63,it's such a nice day.,yapp setuju
64,yapp setuju,kayaknya bakal ujan
65,kayaknya bakal ujan,"ya, gua juga berharap itu sih"
66,"ya, gua juga berharap itu sih",kenapa emang?
67,kenapa emang?,ujan tu sekalian bersihin udara sih
68,ujan tu sekalian bersihin udara sih,"gua juga sukaa, apalagi bau setelah ujan itu"
69,"gua juga sukaa, apalagi bau setelah ujan itu","yapp, apalagi kalo malem malem"
70,"yapp, apalagi kalo malem malem",oh ya? emangnya kenapa?
71,oh ya? emangnya kenapa?,karna nanti langit tu bersih dan lu jadi bisa liat bintang
72,karna nanti langit tu bersih dan lu jadi bisa liat bintang,gua berharap hari ini bakal turun ujan
73,gua berharap hari ini bakal turun ujan,yap gua juga
74,yap gua juga,itu memang benar.
75,it really is.,kayaknya hari ini bakal ujan
76,it seems that it may rain today.,mudah mudahan sih
77,hopefully it will.,kenapa emang?
78,how come?,gua suka sih langit bersih setelah ujan
79,i like how clear the sky gets after it rains.,"iya samaa, aroma setelah ujan tuh juga enak banget"
80,i feel the same way. it smells so good after it rains.,iya apalagi pas malemnya
81,i especially love the night air when it rains.,oh ya? kenapa tuh?
82,really? why?,kita bisa liat bintang di langit
83,the stars look so much closer after it rains.,aku berharap bakal turun ujan
84,i really want it to rain today.,"ya, aku juga."
85,don't you think it's nice out?,"ya, menurutku juga begitu."
86,"yes, i think so too.",menurutku juga bakal ujan sih
87,i think that it's going to rain.,aku berharap bakal turun ujan
88,i hope that it does rain.,kamu suka ujan?
89,you like the rain?,langit tu indah banget pas selesai ujan
90,the sky looks so clean after it rains. i love it.,"iya bener, aroma setelah ujan tu bikin nyaman"
91,i understand. rain does make it smell cleaner.,aku paling suka keadaannya di malam hari setelah hujan.
92,i love most how it is at night after it rains.,kenapa tuh?
93,how come?,kita bisa liat bintang di langit
94,you can see the stars so much more clearly after it rains.,aku berharap bakal turun ujan
95,ke pantai seru nih kayaknya,"seru sih, tapi cuacanya gimana ya nanti"
96,that sounds like fun. what's the weather going to be like?,denger denger sih cuacanya lagi panas
97,i heard that it's going to be warm this weekend.,kayaknya ini bakal jadi cuaca yang oke banget sih buat mantai
98,is it going to be perfect beach weather?,aku juga mikir kaya gitu
99,i believe so.,"bagus deh, aku harap ga akan dingin nanti"
100,good. i hope it doesn't cool off this weekend.,"yapp, aku lagi pengen banget ke pantai"
101,i know. i really want to go to the beach.,eh tapi cuaca di jakarta sulit diprediksi sih
102,but you know that california weather is really unpredictable.,"benerr, dikit dikit ujan, dikit dikit panas"
103,"you're right. one minute it's hot, and then the next minute it's cold.",aku harap sih cuacanya bakal tetep sama
104,i really wish the weather would just stay the same.,"samaa, biar kita bisa ngerencanain hari kita"
105,i do too. that way we can have our activities planned ahead of time.,ya bener banget
106,gua mau ke pantai minggu ini,"seru sih, tapi cuacanya gimana ya nanti?"
107,a trip to the beach would be fun. how is the weather going to be?,di ramalan cuaca sih bakal anget minggu ini
108,the forecast says that it will be warm on the weekend.,jadi cuacanya oke ya buat ke pantai?
109,so do you think it'll be perfect weather for the beach?,ya sepertinya sih
110,it sounds like it will be.,gua berharap ga dingin deh cuacanya
111,i really hope it doesn't get cold.,"ya, agak nyebelin sih kalau dingin"
112,"that would ruin things, i want to go so badly.",cuaca di jakarta susah ditebak sih
113,"the weather in california is unpredictable, so you never know.",ya setujuu
114,that is true. the weather is constantly changing.,semoga cuacanya ga berubah ubah
115,it would be nice if the weather would never change.,"yapp, jadi kita bisa ngerencanain lebih mateng"
116,"that would be great, then we could plan things sooner.","bener, setuju"
117,kayaknya seru kalo ke pantai minggu ini,cuacanya gimana ya nanti? gua juga pengin ikut deh
118,what's the weather going to be like? i may want to go too.,cuaca minggu sih kayaknya ga begitu panas
119,the weather this weekend is supposed to be warm.,hmm cuacanya bakal bagus kali ya?
120,will it be good beach weather?,kayaknya iya sih
121,i think it will be.,semoga ga jadi dingin deh cuacanya
122,it wouldn't be good if it got cold this weekend.,"sama deh, semoga tetep anget "
123,"i want this trip to be perfect, i hope it stays warm.",cuaca di jakarta susah ditebak sih
124,"this california weather is so uncertain, it's impossible to know what'll happen.","iya bener, setiap hari cuacanya beda beda"
125,i know. every day the weather seems different.,enak sih kalo misalkan cuacanya ga berubah ubah
126,i would love it if it wasn't always so unpredictable.,"iya bener, jadi gampang kalo mau ngerencanain sesuatu"
127,"Helo, bisa bicara dengan misael?","iya, ada apa?"
128,this is she. how's it going?,aku udah nelponin kamu dari tadi
129,i've been trying to call you all day.,"eh maaf banget, tadi aku lagi beres beres rumah"
130,sorry about that. i was cleaning up.,gapapa
131,it's okay.,jadi ada apa?
132,so what were you calling me about?,"oh, tadi mau ngajakin jalan jalan besok, mau ga?"
133,"oh, i just wanted to see if you wanted to hang out tomorrow.","boleh, ngapain aja nanti?"
134,"sure, what did you want to do?",mungkin nonton film atau apa
135,maybe we can go see a movie or something.,"seru sih, gas deh"
136,that sounds like fun. let's do it.,"oke, sampai jumpa besok"
137,i'll see you tomorrow then.,oke 
138,"Hi, apakah ini misael?","ya, ada apa?"
139,speaking. what's up?,kenapa ga jawab telponnya?
140,why haven't you answered the phone?,"maaf, soalnya aku lagi ngerjain tugas"
141,"my bad, i had chores to do.",oke gapapa
142,that's all right.,ada apa nih?
143,what was the reason for your call?,besok main yok
144,i want to do something tomorrow with you.,"boleh, mau main apa besok?"
145,sounds good. what did you have in mind?,"hmm, kayaknya nonton film seru sih"
146,i was thinking about seeing a movie.,"gas, boleh kita nonton film"
147,"okay, let's go see a movie.",oke sampe ketemu besok
148,until then.,oke
149,apa ada alicenya?,ya ini alice
150,you're talking to her.,gua udah nelpon lu berkali kali
151,i've called you a hundred times today.,"eh sorry, gua lagi sibuk ada kerjaan"
152,i was busy doing something. i apologize.,oke gapapa
153,no problem.,ada apa nih?
154,did you need something?,besok mau main ga?
155,do you want to do something tomorrow?,"boleh, tapi kemana kira kira?"
156,is there somewhere special you wanted to go?,gimana kalo nonton film?
157,how about a movie?,"hm, film oke sih, boleh deh"
158,a movie sounds good.,"yaudah, telpon gua ya kalo lu jadi ikut"
159,udah liat cewe baru di sekolah belom?,belom tuh
160,"no, i haven't.",dia cantik banget cuy
161,she's really pretty.,coba deskripsiin
162,describe her to me.,orangnya ga terlalu tinggi sih
163,she's not too tall.,"oke, tingginya berapa kira kira?"
164,"well, how tall is she?",sekitar 150 cm
165,she's about five feet even.,terus orangnya kaya gimana?
166,"what does she look like, though?",bola matanya coklat gitu cakep deh
167,she has pretty light brown eyes.,kayakanya gua tau yang mana yang lu maksud
168,i may know which girl you're talking about.,jadi lu udah pernah liat?
169,so you have seen her around?,iya
170,"there's a new girl in school, have you seen her yet?",belom liat
171,i haven't seen her yet.,menurutku dia cantik banget sih
172,i think that she is very pretty.,ciri cirinya gimana tuh
173,tell me how she looks.,dia agak pendek
174,she's kind of short.,berapa tingginya?
175,what height is she?,mungkin sekitar 150cm
176,she's probably about five feet.,"lumayan tuh, orangnya kaya gimana?"
177,"that's nice, but tell me what she looks like.","pokoknya matanya warna coklat, indah gitu"
178,the first thing i noticed was her beautiful brown eyes.,kayaknya aku pernah liat deh
179,i think i might've bumped into her before.,serius kah? kamu pernah ngasih tau kalo kamu liat?
180,are you telling me that you've seen her before?,iya
181,udah liat cewe baru di sekolah belom?,"belum, kamu udah kah?"
182,no. have you?,dia salah satu gadis tercantik di sekolah.
183,she's one of the prettiest girls at the school.,gimana tuh orangnya?
184,what does she look like?,"yah, dia cukup pendek."
185,"well, she's quite short.",menurutmu tingginya berapa?
186,how tall would you say that she is?,sekitar 150 cm
187,i would say she's only five feet.,kalo mukanya gimana?
188,what about her facial features?,"dia punya mata coklat muda, cantik banget sih."
189,"she has light brown eyes, absolutely beautiful.",kayaknya aku tau siapa yang kamu omongin
190,i think i know who you're talking about.,ooh
191,kenapa kamu ga sekolah kemaren?,lagi ga enak badan
192,i wasn't really feeling well.,kenapa tuh?
193,what was wrong with you?,perutku sakit.
194,my stomach was upset.,sekarang gimana? udah sembuh kah?
195,do you feel better now?,lumayan sih
196,i don't really feel too well yet.,mau apa gitu biar lebih enakan badannya?
197,do you want anything to make you feel better?,"ngga, makasih, tadi udah minum obat kok"
198,"no, thanks. i already took some medicine.",semoga cepet sembuh deh
199,i hope you feel better.,makasihh
200,kenapa kamu ga sekolah kemaren?,aku sakit kemaren
201,i was sick.,sakit apa tuh?
202,how were you sick?,sakit perut
203,i had a stomachache.,sekarang gimana? udah sembuh kah?
204,did it get any better?,masih belum enakan sih
205,i'm still feeling under the weather.,mau apa gitu biar lebih enakan badannya?
206,would you like anything for your stomach?,udah minum obat kok tadi
207,i took something earlier.,oke cepet sembuh ya
208,get better.,makasihh
209,lu kenapa ga masuk kemaren?,gua ga enak badang kemaren
210,i stayed home because i wasn't feeling well.,kenapa tuh?
211,what was your problem?,sakit perut gua
212,my stomach was bothering me.,sekarang gimana? udah enakan kah?
213,are you feeling any better?,masih sakit sih
214,i'm still feeling a little sick.,"gua mau ke apotek nih, mau nitip obat apa?"
215,"i'm going to the store, would you like any pepto bismol?","ga usah, tadi udah minum obat"
216,that's okay.,"oke deh, cepet sembuh ya"
217,udah denger berita baik belom?,"belum sih, ada apa tuh?"
218,"no, i haven't.",aku dapet promosi di kerjaan
219,i got a promotion at my job.,iyakah?
220,did you really?,"iya, makanya aku semangat banget"
221,"seriously, i am so excited.","widiih, selamat ya"
222,"well, congratulations.",makasihh
223,thank you.,turut bahagia ya
224,i'm so happy for you.,oh ya?
225,really?,"ya, kamu udah seharusnya dapet ini"
226,yes. you really deserved this.,iya kah?
227,you think so?,Ya. bagus untukmu.
228,udah denger berita baik belom?,lu belom ngasih tau gua apa apa
229,you haven't told me anything yet.,gua dapet promosi di kantor
230,i got a promotion at work earlier this week.,oh ya?
231,is that right?,"iyaa, gua seneng banget sekarang"
232,it's the truth. i am really happy.,"widiih, selamat ya"
233,congratulations on your promotion.,makasihh
234,thank you very much.,gua bangga sih
235,i am really excited for you.,seriusan?
236,are you really?,"iya, lu berhak untuk dapet posisi ini"
237,i'm serious. you deserved this promotion.,beneran kah?
238,is that what you really think?,iya
239,kamu udah denger berita baik kah?,aku belum mendengar apa pun.
240,i haven't heard anything.,bosku ngasih aku promosi jabatan
241,"my boss offered me a promotion, and i took it.",oh serius kah?
242,are you serious?,"iyaa, aku serius"
243,"yes, i am really excited.","wow, selamat "
244,that's great. congratulations.,makasihh
245,i appreciate that.,aku seneng banget sih denger berita ini
246,you have no idea how happy i am for you.,okee
247,kamu keliatan keren hari ini,"makasih, aku beli ini beberapa hari yang lalu"
248,thank you. i just got this outfit the other day.,oh ya? di mana kamu belinya?
249,"really, where did you get it?",aku beli di mister diy
250,i got it from macy's.,ini bagus banget
251,it's really nice.,"makasih lagii, btw kamu juga cantik hari ini"
252,"thanks again. you look nice today, too.","makasih, aku juga baru beli sepatu ini"
253,thank you. i just got these shoes today.,oh ya? sepatu apa itu?
254,really? what kind of shoes are they?,ini converse chuck taylor
255,these are called all star chuck taylors.,"bagus banget sih, berapa harganya?"
256,i really like those. how much did they cost?,sekitar 700 ribu
257,they were about forty dollars.,kayaknya aku juga mau beli deh
258,i absolutely love what you're wearing today.,serius? kamu kan baru beli baju beberapa hari yang lalu
259,you do? i just bought this outfit a couple days ago.,"serius, itu keliatannya bagus. Di mana belinya?"
260,"seriously, it looks really nice on you. where did you buy it from?",beli di sport station
261,i bought it from the macy's at the santa anita mall.,aku bakal suka sih
262,i really like that outfit.,"makasih, lu juga keliatan keren hari ini"
263,"thanks. i think you look nice today, too.","makasih, gua baru beli sepatu ini beberapa hari lalu"
264,thank you. i just bought these new shoes earlier today.,"bagus tuh, mereknya apa?"
265,those are nice. what are they?,ini converse chuck taylor
266,these are some chucks.,"bagus juga, berapa harganya?"
267,those are great. how much were they?,gua beli di harga 800 ribu sih
268,i got them for forty.,kayaknya lu pas banget pake outfit ini
269,i think that you look very cute today.,oh ya? ini barang baru sih
270,is that right? this is a brand new outfit.,beli di mana emang?
271,what store did you get it from?,beli di sport station
272,i went to macy's and picked it out.,gua suka outfit lu sekarang
273,i love your outfit right now.,"yaa, lu juga sih"
274,"well, i think you look nice today too.","makasih, aku beli di toko sih kemaren"
275,thanks. i found these new shoes earlier at the store.,"ini bagus banget sih, mereknya apa?"
276,i think that those are some really nice shoes. what kind are they?,ini converse chuck taylor
277,these are chucks.,harganya berapa tuh?
278,your shoes look really nice. how much did you get them for?,sekitar 700 ribu
279,kamu kalo waktu luang biasanya ngapain?,aku suka ngegambar dan ngelukis sih
280,i enjoy drawing and painting.,oh kamu bisa ngegambar dan ngelukis?
281,you know how to draw and paint?,"iya, hobi aja sih"
282,"yes, i do.",dari kapan kamu belajarnya?
283,when did you learn how to do that?,aku belajar dari pas sma sih
284,i learned back in high school.,"oh, kamu ambil kelas seni kah?"
285,"oh, so you took an art class?","ya, aku suka kelas itu"
286,"yeah, i loved that class.",menurutku kamu cukup berbakat.
287,i see that you're pretty talented.,makasih banyak
288,thank you very much.,aku pengin juga sih punya bakat kaya kamu
289,i wish i had a talent like that.,"aku yakin kamu punya bakat juga, tapi mungkin masih belum ketauan"
290,hobi kamu apa?,hobiku ngegambar dan ngelukis
291,i've always liked to draw and paint.,oh aku gatau kalo kamu bisa gambar dan ngelukis
292,i didn't know you knew how to draw and paint.,"ya, aku sesekali aja sih"
293,i do it every once in a while.,udah berapa lama belajarnya?
294,how long have you known how to do that?,"hm, pertama kali belajar sih pas sma"
295,i first learned how to do it in high school.,kamu ngambil semacam kelas seni gitu kah?
296,did you take some sort of art class or something?,"iya, itu kelas favoritku"
297,that was my favorite class.,"wih, berbakat ya kamu"
298,you have got to be talented.,makasih
299,thanks.,aku juga pengin punya bakat sih
300,if only i was talented.,"kamu punya bakat, cuma kamu belum tau aja"
301,lu punya hobi kah?,"punya, ngegambar dan ngelukis"
302,"when i have time, i sometimes draw and paint.",oh itu hobi lu?
303,"oh, you actually do that?","ya, kalo lagi bosen gua suka ngegambar"
304,"every so often, i do.",dari kapan bisa ngegambar dan ngelukis?
305,did you always know how to draw and paint?,diajarin dari sma sih
306,i was taught in high school how to draw and paint.,lu ikut kelas seni?
307,you had an art class?,"ya, dan itu mata pelajaran favorit gua"
308,"exactly, it was my favorite class.","oalah, berbakat juga ya lu"
309,"well, it's good that you're so talented.",makasih
310,i appreciate that.,"bakat lu keren, gua berharap punya bakat kaya lu sih"
311,film favorit kamu apa?,film favoritku agak laen
312,my favorite movie is superbad.,kenapa suka agak laen?
313,"oh, why is that?",itu film paling lucu yang pernah kulihat.
314,it's the funniest movie that i've ever seen.,"setuju, filmnya lucu banget"
315,that's true. it is a very funny movie.,udah pernah nonton juga kah?
316,you've seen it before?,"ya, waktu itu nonton di hari pertama penayangan"
317,"yes, i saw that movie the first day it came out in theaters.",kamu ketawa terus gak sih?
318,didn't you laugh through the whole movie? i did.,"iya samaa persis, aku ga bisa berhenti ketawa"
319,me too. that movie brought tears to my eyes.,aku jugaa
320,mine too.,"oiya, aku juga nyimpen film itu di dvd, kalo mau nonton ke rumahku aja"
321,i have it on dvd at my house if you want to come over and watch it.,boleh yuk
322,apa film favoritmu?,"agak laen sih, filmnya seru banget"
323,"i have to say, my favorite movie is superbad.",oiya? kenapa tuh?
324,is that right? why?,agak laen film yang lucu sekaligus sedih di beberapa titik
325,"honestly, it is one of the funniest movies i've seen in a long time.","yap bener banget, ada lucu dan sedih sekaligus"
326,you're right. that movie is hilarious.,aku ga nyangka kamu nonton film itu
327,i didn't think you saw that movie.,aku nonton di screening film itu loh
328,i went to see it the day it came out.,aku ketawa terus sepanjang film
329,i was laughing through the whole movie.,"sama, aku juga ketawa terus"
330,"i couldn't help laughing, either. ",aku jugaa
331,same here.,"oh iya, aku punya dvd-nya, kalo mau nonton boleh ke rumahku"
332,i bought the movie. would you like to come to my house and watch it?,boleh saja
333,"dari semua film yang udah lu tonton, film apa yang menurut lu jadi favorit?",menurut gua Agak Laen jadi favorit gua
334,i'm going to have to say that superbad is the best movie ever.,oh iya? kok bisa?
335,"you think so, how come?","ya, filmnya lucu banget"
336,"well, superbad is super funny.","ya setuju, itu film terlucu yang pernah ada"
337,"you're not lying, i found that movie absolutely hilarious.",gua ga menyangka lu nonton agak laen
338,i didn't know that you saw superbad before.,gua nonton di hari pertama rilis tau
339,i made sure to be in line to see it the first day it came out.,gua gabisa nahan ketawa sepanjang nonton
340,i couldn't keep from laughing throughout the whole movie.,"sama persis, perut gua sampai sakit"
341,i was laughing hysterically the whole time; my stomach muscles hurt afterwards.,itulah yang gua rasakan
342,that's exactly how i felt.,"gua ada netflix sih, kalo mau nonton boleh aja main ke rumah"
343,suka dengerin lagu apa?,banyak sih yang aku dengerin
344,i like listening to different kinds of music.,genre apa?
345,"like what, for instance?",aku suka denger rock dan r&b.
346,i enjoy rock and r&b.,kenapa tuh?
347,why is that?,aku suka instrumennya sih
348,i like the different instruments that they use.,"oh iya bener sih, bagus juga"
349,that's a good reason to like something.,"ya, menurutku juga begitu."
350,suka musik jenis apa?,aku suka semua jenis musik sih
351,i enjoy listening to all kinds of music.,musik apa aja tuh?
352,what kind?,aku suka dengerin rock dan r&b
353,i like to listen to rock and r&b.,kenapa suka dengerin itu?
354,why do you like that type of music?,aku suka sama instrumennya sih
355,i like the kinds of instruments that they use.,keren juga alesannya
356,i think that's an excellent reason to like something.,"makasih, aku juga suka karena itu"
357,what is your favorite kind of music?,aku denger banyak musik sih
358,i listen to various types of music.,genre apa?
359,what genres?,aku suka denger rock dan r&b.
360,i enjoy listening to both rock and r&b.,kenapa kamu suka lagu itu?
361,what interests you in that type of music?,aku enjoy dengan instrumennya
362,i enjoy the different types of instruments that they use.,"bener banget, aku setuju"
363,kamu nonton basket ga?,"ngga, aku ga nonton kayaknya"
364,"no, i couldn't make it.","yah, kamu ngelewatin pertandingan yang seru"
365,you missed a really good game.,oh iya kah? siapa yang menang?
366,"oh, really? who won?","lakers yang menang, mainnya asik banget"
367,our school did. they played really well.,"wah sayang banget, aku terlalu sibuk tadi"
368,too bad i was busy. i really wanted to go.,"ya, harusnya kamu nonton pertandingannya"
369,"yeah, you should have. it was really exciting.",jadi berapa skornya?
370,so what was the score?,skornya 101-98.
371,the score was 101-98.,"wow, itu tipis banget"
372,"man, that was a really close game.",yah emang keren banget
373,that's what made it so great.,semoga dia lolos ke babak selanjutnya
374,were you able to attend friday night's basketball game?,kayaknya aku ga bisa nonton
375,i was unable to make it.,"harusnya kamu nonton sih, gamenya seru banget"
376,you should have been there. it was intense.,oh ya? siapa yang menang?
377,is that right. who ended up winning?,mavericks menang
378,our team was victorious.,"wah sayang banget, aku terlalu sibuk tadi"
379,i wish i was free that night. i'm kind of mad that i didn't go.,"ya, seharusnya kamu nonton tadi"
380,it was a great game.,berapa skor di akhir pertandingan?
381,what was the score at the end of the game?,tim mavs menang 101-98.
382,our team won 101-98.,kayaknya pertandingannya ketat banget
383,sounds like it was a close game.,"yap, emang keren banget"
384,that's the reason it was such a great game.,semoga di pertandingan selanjutnya aku bisa nonton
385,kemaren aku mau ngajak kamu nonton basket tau,"aku mau nonton, tapi ga bisa :)"
386,"i wanted to go, but i couldn't.","waduh, padahal itu game yang seru"
387,it was a great game.,"aduh sayang banget, siapa yang menang?"
388,it's too bad that i couldn't make it. who won?,mavericks menang
389,our team played hard and won.,padahal aku pengin banget nonton
390,i really wish i went to the game.,itu permainan terbaik yang pernah aku tonton
391,it was the best game ever.,berapa skor di akhir pertandingan?
392,so tell me the final score.,"tim lainnya kalah tiga poin, 101-98. "
393,"the other team lost by three points, 101-98. ",itu pasti pertandingan yang ketat.
394,it must've been a close game.,"bener, kamu harusnya nonton"
395,kamu ada kegiatan ga di minggu ini?,aku pergi ke bioskop dengan seorang teman. bagaimana denganmu?
396,i'm going to the movies with a friend. how about you?,belom tau sih
397,i'm not sure yet.,"ooh, mau nonton bareng temenku ga?"
398,"well, did you want to go see a movie with me?",mau nonton film apa emang?
399,what movie are you going to see?,"belom tau sih, ada rekomendasi?"
400,i'm not sure yet. is there something you want to see?,hmm bingung juga sih
401,there's nothing i can think of.,"jadi, apa kamu ingin pergi?"
402,"so, did you want to go?","ngga deh, mungkin lain kali"
403,"no, thanks, maybe another time.","oke, kedengarannya bagus."
404,minggu nanti kamu ngapain?,"mau nonton film bareng temen sih, kamu gimana?"
405,i am going to see a movie with a friend of mine. what about you?,belom tau sih
406,i don't know.,mau nonton bareng sama temenku juga ga?
407,would you like to see a movie with me and my friend?,nonton film apa emang?
408,do you know what movie you're going to watch?,"ga tau, tapi kamu punya rekomendasi ga?"
409,"i don't know, but was there a certain movie you wanted to see?",ga ada sih
410,none that i can think of.,"oke deh, jadi gimana mau ikut?"
411,"well, would you like to go?","kayaknya engga dulu deh, makasih"
412,"thank you for inviting me, but i think i'll pass.",Baiklah. lain kali kalau begitu.
413,you have any ideas as to what you want to do this weekend?,aku pergi ke bioskop bersama temanku. apa yang akan kamu lakukan?
414,i'm going to the movie theater with my friend. what are you going to do?,aku belum begitu yakin.
415,i'm not quite sure yet.,bagaimana kalau kamu menonton film bersamaku dan temanku?
416,how about you see a movie with me and my friend?,film apa yang ingin kamu dan temanmu tonton?
417,what movie are you and your friend planning on watching?,tidak yakin. apakah ada film yang menarik perhatianmu?
418,not sure. is there a movie out that catches your eye?,tidak ada film bagus yang terlintas dalam pikiran.
419,no good movies come to mind.,sudahkah kamu memutuskan apakah kamu ingin pergi atau tidak?
420,have you decided whether or not you would like to go?,"tidak, terima kasih. mungkin lain waktu."
421,did you go to school today?,"ya, aku berangkat ke sekolah hari ini. apakah kamu di sana?"
422,"yeah, i went to school today. were you there?","tidak, aku tidak pergi, aku sedang sakit."
423,"no, i didn't go, i've been sick.",itu menyebalkan. apakah kamu ingin tugas dari kelas bahasa inggris?
424,that sucks. did you want the assignments from english class?,"itu akan menyenangkan, terima kasih."
425,"that would be nice, thank you.","tidak masalah, sama-sama."
426,"no problem, you're welcome.",aku akan dengan senang hati melakukan hal yang sama untukmu ketika kamu sakit.
427,i will be glad to do the same for you when you're sick.,Baiklah terima kasih. aku berharap bisa bertemu denganmu di sekolah besok.
428,have you attended school today?,aku bersekolah hari ini. Apakah kamu?
429,i attended school today. did you?,aku tidak bisa bersekolah karena aku merasa sakit.
430,i wasn't able to attend school because i was feeling ill.,saya turut berduka mendengarnya. apakah kamu ingin tugas dari kelas bahasa inggris?
431,i'm sorry to hear that. would you like the assignments from english class?,"saya akan sangat menghargainya, terima kasih."
432,"i would really appreciate that, thanks.",tidak ada masalah sama sekali.
433,it's no trouble at all.,"jika kamu sakit, aku akan membalasnya."
434,"if you get sick, i'll return the favor.",terima kasih. sampai jumpa di sekolah besok jika kamu merasa lebih baik.
435,have you gone to school today?,saya pergi ke sekolah hari ini. Apakah kamu pergi ke sekolah?
